age,income,upi_txn_count,bill_payment_score,mobile_recharge_score,ecommerce_spend,loan_default
56,96461,222,5.587115467735004,73.70355567910089,8924,0
35,111150,75,68.8030010175039,83.69638742373738,7056,0
24,29677,140,22.257641757103052,39.66516019542519,23322,0
22,96092,164,23.322807242452782,58.13054172267823,42348,0
34,196926,326,98.6001063822871,75.33781852589416,35909,0
36,34790,90,24.872415443028796,33.02525290190985,15485,0
30,148507,125,5.630327568183735,11.881791626807193,13116,0
56,60224,386,58.336876509715964,96.21725484745419,33982,0
42,41591,416,22.359583851945263,96.32225394406113,36395,0
38,28559,373,92.4643330223596,91.91157152786595,25826,0
35,79726,232,21.680910658649122,29.449394683942987,42356,0
20,158159,470,4.5446380341457875,28.096318959223034,10975,1
55,133899,407,62.013259780153675,27.738118298113267,46427,0
25,92665,315,58.365611185087204,7.773463696498483,4835,0
34,177160,416,41.12067208721862,60.27818820232985,31471,0
52,126012,389,94.9799913291924,72.571950838836,10136,0
47,162865,250,4.521867010618941,2.6366974497252005,27712,0
28,70292,281,38.08908566310215,96.99143978146031,6938,0
50,26017,104,41.48195023376652,27.340707193070624,40943,1
45,157456,196,99.97176732861305,99.66368370739053,23574,0
54,12809,457,37.78505492757864,24.108483232963184,38765,1
30,65091,445,87.82206674791922,75.69991321722287,26657,0
25,132454,153,49.816518664589296,47.62106967890142,49922,0
29,182016,53,96.79737654398231,8.840822336564658,37626,0
40,52238,228,62.03095513534647,70.40797680992236,15781,0
51,14949,305,58.991768685463306,39.22440450997323,23386,1
51,102456,165,45.09104474161044,91.0471278403273,4637,0
34,111196,387,45.93468079461724,84.20914150187096,19963,0
22,81477,52,34.741340822541424,20.913079107851416,12015,0
40,145162,373,69.76675736969318,18.006727234929855,42679,0
49,109570,154,66.75577385210272,17.231987120162984,11314,0
22,119195,169,17.70104842767468,8.87025337570556,39144,0
51,116464,77,33.00995133101554,32.1582764680029,23321,0
39,149550,55,87.35786241067773,92.08724005318132,4432,0
18,198471,112,59.72780822554306,98.62569958668152,302,0
39,147789,473,75.99554089375856,53.126575397353406,48513,0
31,154106,311,13.311692858747826,68.71655054033312,17302,0
35,113977,293,53.261726645502314,24.247050363472965,8152,0
45,9062,440,84.07099858779311,8.92043287120562,49277,1
34,142668,211,47.396994143055615,35.51043032793048,16616,0
53,34069,33,55.77422659504374,58.65354346607591,23275,0
58,199076,5,89.96473971450123,60.75552222935728,10167,0
23,11812,376,23.72267917359945,10.178247262040374,1605,1
21,195210,445,28.50951686938471,17.33735952947548,27446,0
20,163890,30,41.03968269896615,98.23786169086064,38110,0
37,167818,3,0.5300006397605417,97.50671629451425,46685,1
19,8846,202,57.161268946989985,27.997909366028416,32043,1
43,50101,323,42.54364386164168,50.7610378684455,36976,0
18,112537,141,28.863055324025577,58.123822142261226,20618,0
30,55362,160,36.923048150989615,45.426797221909965,16644,0
19,124748,167,80.98744458546349,25.464065476376383,43336,0
28,101070,407,60.61018810558386,79.42894499664625,42078,0
31,75444,375,99.09294764573906,20.500181005323725,8162,0
57,175231,405,4.809464396408769,78.1514481751415,41832,0
47,94740,164,81.45747202313821,66.51972206962002,40345,0
42,22060,41,39.244510742263536,81.65994394715771,9510,0
49,151026,124,30.13778741641421,74.76093801762511,18574,0
34,173088,494,38.38912213732114,54.35528611139886,36455,0
56,75506,197,93.98321236134751,62.770805307141785,24519,0
32,128430,156,49.54236264039656,74.14609111390455,922,0
55,105720,96,70.69804612434591,77.8571939050751,2336,0
39,67201,9,49.398148713086265,75.46352918601166,46197,0
48,168558,227,45.700021928167835,60.39578720725125,35996,0
46,22382,323,72.22525683930662,72.00365365460743,16478,0
53,132714,282,34.56959935039195,18.159771680142565,14153,0
23,152071,22,46.20058036441327,94.72833396118153,2443,0
57,133885,209,61.14542354346478,1.8110183820840509,33595,0
53,68279,292,70.72386343133986,15.253904291426135,41563,0
26,183399,296,92.55685129067763,45.08393714041321,11053,0
43,140717,419,12.466268120326685,92.08418826173724,34622,0
57,76244,430,5.476163882203133,33.519724164590095,39224,1
58,48738,62,41.450458420362764,86.3518140612957,7973,0
35,16666,417,91.84547249393012,58.706822413656724,41914,1
41,75526,179,41.89254495045479,91.48459010681,37148,0
39,27097,155,21.26807843412263,51.51736824068126,4944,0
37,60853,341,8.534966807864386,99.68742518459473,20806,0
30,181021,214,42.67889053367494,79.97820220742695,27965,0
46,167024,428,37.77259474401693,83.65648132923329,23570,0
31,46258,174,52.764773014478585,53.44558912572469,38000,0
55,164594,318,10.298147933131553,33.43628113104822,12342,0
49,111177,457,89.74304098188843,52.65784666592938,47190,0
49,136177,390,65.89239419101514,2.709599250348349,10998,0
40,84218,254,1.9710537754364155,10.410858198457385,19694,0
50,93595,494,72.08130963105066,80.53149673579051,21591,0
33,127235,499,66.80851365706462,20.498429541582098,47838,0
35,14150,329,8.550853085446807,20.78862551460273,20079,1
53,189532,187,70.39461351385094,91.06240035403039,23236,0
59,154430,385,36.30592121950905,3.4228110820529123,14596,0
47,119496,225,86.10680199747216,21.95105250809587,43861,0
34,187357,119,98.53673122417347,47.10654526938144,37599,0
34,10573,8,54.16342146608669,63.347821982614725,23752,1
21,63961,441,90.05723012363856,69.12218576096544,8996,0
35,69268,41,57.651647551425356,27.4055220687206,39952,0
55,136377,75,20.64212717606032,1.0995828658480478,40760,0
44,12263,97,60.051686043365336,66.50366745462554,8646,0
34,43737,468,38.31385282494975,51.89177052828376,20609,0
18,158322,180,60.31521094663882,24.534910968132095,24063,0
56,124021,97,39.66493730520543,95.40869365396331,29077,0
50,67129,35,53.98427789081934,16.20138778915846,31987,0
51,186376,153,47.42373087003696,34.43837320442332,35111,0
42,139132,426,59.82860582681546,45.96815127611311,24354,0
54,94123,171,96.76993882070865,0.5253818558384915,23051,0
34,188553,56,44.600577295795574,18.513292883861965,1341,0
36,151326,148,75.90358455388498,72.41033292731386,39887,0
42,194833,88,64.66649191171634,69.31752114569247,25064,0
49,45641,15,92.52483174156659,18.057534512733355,19541,0
31,176270,116,73.10236714582817,19.259902778563042,8007,0
40,145809,222,86.20426509893134,84.45493985350704,37265,0
56,95312,13,59.6269878482053,23.000883728770305,30907,0
20,142055,473,72.47667715287615,6.535634079894237,28535,0
46,154389,408,73.7855766906525,52.016810987873185,13737,0
19,131618,169,99.03413133417772,0.02375235758845795,9996,0
49,152991,226,7.002970574747103,0.9485433628498074,45084,0
46,81972,235,62.75054632183701,87.36771141863387,10616,0
42,32574,358,52.25191916345231,73.22718071846451,20144,0
31,32951,157,85.28218216919014,71.55533152342419,40600,0
32,174472,398,38.432664715968166,67.96472826930699,31883,0
54,132988,484,8.94110023122595,41.75807757849284,40970,0
51,187352,198,99.11686261369765,23.16717013834434,48988,0
27,48042,225,38.40906114912496,3.6731937426613626,43513,0
23,190020,53,96.91026301408114,88.37858849634257,11362,0
59,164497,61,99.63357758067242,89.74361480462039,7906,0
42,198792,67,58.00862078378112,9.148683739775487,18024,0
45,73160,194,95.56514982297534,86.21276172654507,29192,0
42,72772,394,8.698675991141014,40.845321307069874,33742,1
22,78831,89,53.26025194007621,96.21219725920498,9903,0
22,94988,80,6.151702623923505,88.29062691374612,49469,0
20,140663,39,67.80161525590636,56.5731963995791,34080,0
36,27623,91,85.05817290942419,86.72942009598023,18088,0
42,165364,169,10.583409382858399,69.89907380395877,22534,0
48,55638,425,12.886986747344519,33.51188542591419,36509,0
35,157859,257,83.21341779577419,50.746773376083624,33062,0
30,199533,154,98.11861780274235,63.18135270166684,31966,0
41,71852,162,12.844871809319136,28.33429482655816,44486,0
49,152353,318,39.21512114451966,17.94973234238334,26660,0
21,91807,483,6.78370591051719,30.096356694681624,14859,1
27,17077,192,5.79204605587983,7.469441775785402,2353,0
46,160267,163,64.75736434019076,59.43958592285453,27083,0
28,183136,133,37.18335292387246,81.87856433570937,27082,0
43,19745,429,46.85394167685843,94.43036349578298,23650,1
56,49846,284,69.36822257814886,22.07696127887604,46766,0
39,30042,194,95.08635622504103,15.105789178090024,32347,0
33,167674,83,39.75943979627943,27.421520234867003,5626,0
55,159054,161,21.31047040250833,3.113408288451136,41752,0
35,177230,491,47.32099066915572,96.81934279147217,39341,0
46,147783,78,45.36936346052827,53.03543937282561,39110,0
41,52859,377,61.665031452073805,79.65372909761763,3224,0
24,19536,381,68.55652872289714,43.030589489946266,38565,1
39,13109,116,59.02639388856225,43.32467489716556,29759,1
25,165661,319,39.55450838799687,97.46998518706899,41125,0
42,72288,101,90.78186529846401,72.42853081264118,3762,0
34,47499,376,57.09045018441643,1.836763694054,46389,0
37,43488,201,77.5804735792956,94.12375042323865,49153,0
58,184076,413,3.3203108791366565,7.857849715502074,43201,0
43,58861,121,80.05866991090829,20.01502442448101,9078,0
57,79626,316,70.64757264869012,3.1586144825642037,39685,0
48,165087,40,70.90605194509165,87.09691237460856,26289,0
37,152701,110,81.48251137465122,8.011484638467515,46163,0
23,167033,21,45.23182845183001,64.35776951965249,21288,0
31,119562,465,6.03520839905638,24.710323401014644,1560,0
36,159094,237,33.68957917711069,18.211791568869927,44662,0
49,122994,299,55.53635509376312,71.92017782722638,661,0
58,199387,201,40.32613611238318,22.056112492232327,16309,0
50,169099,304,86.82725054083805,72.7169069766308,956,0
54,33963,381,98.76495637360578,4.010919141248248,15282,0
53,164921,116,39.551516984901525,60.618871356117154,26958,0
23,184422,425,99.21333163406723,28.3854528608645,21116,0
35,134503,20,73.3113022415281,13.15676851272598,19975,0
47,150633,427,37.28486371889345,51.26152052058052,26916,0
58,174205,315,40.50207990803215,59.291839983178185,35046,0
19,53893,144,39.10815366517607,96.94123223352875,2113,0
22,152832,423,59.87139801001076,39.665977634356196,36142,0
27,52738,117,16.975790508754073,51.977394855601766,11083,0
18,145348,275,58.7884371110387,94.85833548514337,43320,0
37,115803,120,60.553815764488284,35.67320530400016,15563,0
45,91310,206,55.81402495938629,53.99058395022125,34707,0
19,186686,292,93.66056922949615,3.9343540668509647,39030,0
54,167476,58,31.61561049767505,50.723480868839246,33997,0
37,174129,215,68.59677359829841,1.7379790185479638,45272,0
56,128030,183,51.55960285792502,48.88465802569202,40363,0
40,30911,125,30.79299415911909,70.46807627366466,43753,0
25,18225,340,9.39007157894184,67.26021182251263,40287,1
39,56320,310,97.86312874005304,37.42967671397926,28625,0
25,118448,75,11.310981907657302,79.55103716964031,30659,0
36,87134,463,82.68388837118775,66.69715169909072,26984,0
45,111409,191,4.821203886055603,97.71741842213173,7848,0
30,166280,244,56.70162609866678,73.84492092513266,25923,0
55,37165,131,66.75933855635847,80.78459419412586,7761,0
40,164498,364,81.78342161750216,12.020905537060845,41781,0
38,11726,64,36.646153487139784,39.61726916092554,9108,0
46,111896,416,23.754413087432745,37.325179162934006,22443,1
28,199305,449,46.34940438005724,37.978578017922985,28441,0
19,39348,220,34.12478276261564,38.019561878585705,16353,0
32,150635,227,60.79050927934446,76.48832615421283,16173,0
38,172246,106,0.756287497814212,64.7474714154603,21627,0
53,147978,50,6.026739028956085,93.44360268055144,37650,1
21,15151,372,28.487290196192284,30.728996492628657,6894,0
25,129999,105,61.03337833109184,71.61506742231936,44976,0
43,94365,458,12.322265417216604,85.94157932805892,29734,0
24,26743,240,56.73122196289035,25.656278370136377,24611,0
24,67189,384,37.35096830383876,52.6499194153781,11130,0
39,162741,276,88.42064633484078,22.807977194893247,37384,0
41,84153,120,83.98613028667204,90.00231233980112,35993,0
21,118641,151,82.26143185136785,42.37382536487628,36041,0
36,89571,457,45.17676787372291,58.66084631754741,26160,0
51,25014,148,9.571455552016172,2.3638586046336396,16014,0
24,31711,10,23.194709611597542,39.09059959055147,39420,1
42,25727,290,59.70469168956917,67.5841245087376,32117,0
58,63754,486,34.10900244742206,81.87070571192328,38467,0
59,39007,166,77.26227274493826,26.48954472367334,46820,0
20,24456,135,36.695607920480064,34.35604747757039,49859,0
19,18756,427,23.3712081910433,54.00119146045106,34503,1
20,82069,325,5.233887578650831,37.84764234858691,9686,0
25,139733,299,8.876739410776846,96.16657359548132,48604,0
33,96733,120,82.18064439010868,0.12366797594094425,46479,0
37,149826,143,38.25262802440083,11.982900201764634,48231,0
37,180395,320,84.20332943764213,52.09579772720422,20421,0
25,99878,287,12.771348363523483,82.60676302525283,9715,0
31,155235,480,22.735730009609878,34.16745018969208,18792,1
44,186936,456,50.97242467516981,82.52861082328968,42685,0
21,98373,418,78.62759567570944,57.458738231776664,5435,0
59,106864,41,53.97326187599428,62.795005277263584,11421,0
47,81861,66,79.00304363070614,30.46791390980408,8264,0
52,14721,346,69.49510889024617,34.609972653778556,38675,1
27,144728,449,13.252467274184843,86.20144822726226,8286,0
33,176757,237,17.483862726041256,50.25660764634424,23429,0
51,109268,481,50.61075548467508,23.25513583653801,40108,0
49,118719,95,59.429075056177474,93.64491738836605,28179,0
23,125407,348,1.7687809613257222,60.255316384286495,27286,0
22,50913,265,21.175535066547834,48.46015870188647,49841,1
32,164104,470,23.918010421592562,14.224936868719617,5448,0
24,105359,399,6.229179813006269,50.94221281497897,34406,0
54,173243,307,17.375259566229452,65.57236725616563,37285,0
54,40371,190,44.97846488213225,19.462251182076507,31238,0
39,107853,454,73.3614380561402,76.93048936413398,4481,0
38,124981,229,25.98132087450342,76.0289823122135,40761,0
22,68428,212,83.43033659547675,62.92988060107362,16052,0
49,8163,464,10.973619867750351,54.79594889736929,4798,1
43,18749,195,86.46603921404177,24.347796840486723,33361,1
58,36380,435,85.95652316469457,39.23937215284745,43404,1
34,11191,392,94.28311414132618,80.8883461636328,3631,1
27,98353,313,25.305843280078456,78.11704237869192,41674,0
25,167674,213,63.66696821672073,61.39335847600618,7099,0
36,186756,415,98.82752710001313,44.32730874436183,41991,0
40,71530,384,7.208433599867337,7.12567277652586,35479,1
37,96340,231,35.32514085020642,29.65355812876552,9866,0
36,133426,27,35.48413602568904,41.21309302627716,41732,0
49,144511,137,2.094496103091281,8.217166747642734,44251,0
25,135896,328,38.19396396528959,20.56872621955551,11824,0
21,165261,104,64.39042535411306,53.030213324915835,20669,0
27,42964,163,29.282203670096475,97.99703293588506,33548,0
48,77519,287,61.649972689508346,15.66384369738083,16905,0
57,97489,182,9.501169899230465,37.59928899413114,49145,0
39,141533,467,12.150137630091805,19.747048985993732,33453,1
38,85794,121,81.59469389686173,86.1369996363436,10736,0
35,108500,396,22.106337145372844,97.83972788005958,33069,0
24,153643,223,17.742876946970686,54.502691889693835,20714,0
45,101980,268,16.481481572943714,13.172877345456191,24858,0
32,185558,87,34.23836360335465,41.34164492952615,27044,0
20,16894,117,56.50219928590161,68.88853020500906,5926,0
42,64447,228,16.0071634954573,46.15574744197899,36495,0
22,188738,448,27.790209724886783,19.395386726777485,42815,0
42,142153,404,73.30712960296748,61.5985450260179,25498,0
30,125235,419,0.5229613542912737,76.09907600280938,10805,0
31,123725,120,95.80734801193802,36.79407513020845,36751,0
23,20087,210,99.63343376272474,36.83095305068483,9596,0
27,121175,226,13.78228991592354,66.30420045004922,13109,0
38,88073,37,16.688511785487094,18.131927992550523,37804,1
24,76099,220,64.23255259052274,6.485359448296835,23225,0
21,44727,253,48.65976622437531,59.936896566293385,14226,0
36,118384,318,7.705827913433117,5.85509292439792,42092,0
55,21428,414,82.51306676661152,52.0296576918654,16044,0
50,173009,318,22.061195271121125,59.82252940637388,27386,0
50,198864,197,63.617736470823274,78.56516180802319,18394,0
31,124859,74,73.99863866856118,95.03127529305917,41796,0
27,173937,258,2.6196708532064794,2.4191763891355245,6397,0
23,61072,364,78.2581939851338,5.613610341621,25122,0
22,70812,319,18.610141784627732,80.26433097957104,48201,0
53,34201,259,4.984202778294156,90.39133302603747,29312,0
53,50821,296,15.890816766935355,61.02251494776413,37051,0
37,153047,472,95.6614621083458,6.895801635642118,9067,0
39,111302,162,27.56123386789454,78.7126602601604,32591,0
48,148905,216,77.67105569551812,6.536615756438524,30508,0
37,48785,249,56.199284746680675,34.59204475016943,17073,0
24,132302,465,73.24487318380898,54.83205837264242,11918,0
38,58601,153,41.87933190741614,26.015779096205115,5432,0
38,36228,130,72.51557275511148,19.1190701464789,26928,0
42,70292,383,96.73561777882752,18.301544423472716,6304,0
21,99006,489,8.884024508756438,68.37541055770426,2336,0
51,162553,42,6.766836190000158,70.78350972297687,21008,0
23,77184,329,16.577454016327575,94.56981470002823,46136,0
51,104111,434,65.09734671509541,54.543186940690546,8535,0
55,38651,58,45.923987759695805,5.195657755426842,34622,0
49,71878,276,16.47063534322959,33.02150648714976,30573,0
32,150055,212,65.96293663947422,16.161981128587144,781,0
58,14823,57,75.07295069993472,55.798073878263985,34881,1
20,182023,43,53.870179795271426,49.781250803429025,21253,0
40,96664,378,38.04200075075623,77.56118509253275,29450,0
27,188231,407,35.667097414176475,75.74818847894174,7239,0
32,45991,209,15.7954822835348,69.58991181688025,11531,0
33,14530,364,90.61432547657664,27.690448737780894,4135,0
45,97087,7,89.39897100078704,65.42925523249619,20074,0
47,19205,365,8.34640849893833,88.24163684073388,15149,1
18,164222,108,98.41103190364979,66.79199988036271,1283,0
48,34170,246,12.982644895171758,68.68609976750291,43360,1
37,163289,381,37.90271262190974,97.34573899761732,11739,0
55,103665,133,71.02427986233116,31.43501131837484,30090,0
26,51732,215,49.421244725029986,82.82492524372184,12763,0
38,128987,247,8.717946783183116,71.90774473538556,18099,0
35,41866,440,43.550545439815934,57.72497307686131,6416,0
28,179790,346,63.41421382957368,12.626474156450273,22433,0
57,149559,155,68.166948240162,16.713201147122124,38547,0
25,175670,342,7.707801195146069,34.03800926666749,33209,0
55,120782,190,6.8505406626979575,76.31552912588894,44333,0
53,163024,38,80.73960303399514,5.909389007825327,10449,0
23,80954,218,56.04406309804399,11.098946921348107,15223,0
31,10659,327,12.884871200025483,41.27611292660261,6142,1
37,147544,423,73.99041207669303,91.80765521991506,34518,0
36,23282,386,75.3961903596784,80.49067768414386,5075,0
31,187272,250,62.82381104632814,53.2675886761555,13074,0
31,58085,436,54.069847664491036,9.653447019544082,49437,0
50,85175,307,30.126526076000037,59.83574842977588,11240,0
47,171834,67,87.72394571622004,87.72617628261796,40572,0
58,71095,126,62.61761715931382,53.13165205680591,9277,0
47,198731,34,26.777667548833417,78.91608465887315,1492,0
22,66643,356,59.89785081772106,11.493299705956684,2044,0
26,54403,34,82.92867993167555,87.89789002822673,44096,0
40,40174,423,31.69465877911193,43.459596085871176,49678,0
43,135795,92,17.058191155709,94.81083201714422,42533,0
46,86002,131,67.64263623383923,13.169343847203852,33539,0
20,19093,491,95.05310525862035,60.06510665483559,11190,0
25,50070,421,7.093221613377343,25.439158084184697,26512,1
23,143450,135,23.885666040192767,46.9641774680709,45496,0
52,81869,290,44.74681413224578,47.42884204312605,5808,0
55,51056,301,4.9496853493666615,83.33170714730124,29075,1
43,104038,340,43.85384885374355,21.850983435413028,31337,0
58,190024,343,8.70927667957715,61.70665161178013,33623,0
56,57334,40,2.966822306473982,67.54202075470891,34285,0
30,198590,45,16.520393933785016,38.98723529415441,8210,0
25,199420,108,60.79052140907037,30.93727178627821,33755,0
25,121816,346,0.2103843175883413,71.75721247315944,726,1
37,31377,145,11.448763806590511,38.38388830449795,24995,0
36,42542,411,54.95836567221436,90.03212680742715,16715,0
32,153448,422,41.267532608339664,64.6096175005063,49353,0
28,82637,209,13.8871326396517,11.573760667870536,40486,0
37,68058,116,90.24533072858418,6.644384435577488,6031,0
19,167741,267,29.504070765415623,48.6000493797603,24364,0
54,82964,61,55.86423964504254,34.316735317265824,7446,0
55,108123,276,69.24928266692253,42.99310773901481,35426,0
26,175860,485,78.89851599207933,44.64195164015822,42849,0
20,87003,171,91.66352358412072,43.098522051329624,16743,0
49,83769,312,2.7420309972657653,39.297422534529126,42903,0
45,76803,420,89.00970351838083,34.58774607378574,44179,0
27,48379,401,63.69023174547432,34.060416658129164,46558,0
28,19120,293,84.7139489693785,53.108534488524285,11951,1
29,103040,30,68.82742357802371,14.055296757836079,39748,0
41,106746,66,96.40174071177023,38.420671298580025,42138,0
44,165489,261,75.62136139501769,45.85230088818907,2169,0
59,16036,34,88.84036723086813,60.294287647946156,6139,0
46,69516,58,96.1135485407593,38.94818949024204,36575,0
21,35716,164,47.78784480222424,53.225753114897614,8556,0
40,58098,386,30.233324935149376,25.933489731709447,4857,0
38,8138,358,54.48276575451868,16.52420504426032,30654,1
52,45772,110,81.67569301195282,20.730900318755797,39420,0
35,82965,248,79.25213919629192,46.14455118873126,48980,0
22,98768,100,54.302458395766315,22.77497361032096,38975,0
51,163914,309,53.33866287653626,86.99691596476849,28308,0
56,24859,4,79.42106625494054,27.576756825135696,557,1
23,74418,146,51.290241614719754,9.36724207059102,29535,0
53,80805,74,20.322309108608728,76.17981913776973,20878,0
34,169458,436,98.07393435834294,40.758420857381694,18354,0
21,49862,364,47.64833837782927,99.61229496394411,34631,0
34,10384,368,29.84349123618767,24.03823886994838,40510,0
22,164590,493,22.074548845278173,73.40297625893064,33905,0
46,144917,170,87.20483384470077,52.722618083980024,26943,0
33,156683,193,33.34073221591105,73.30511898599934,20536,0
52,85842,369,67.68212988573956,82.84692994491171,11590,0
20,74624,291,83.41445970006758,74.04761319535191,20620,0
22,124923,127,80.9183171139031,88.4424275501977,29218,0
57,85064,289,7.764933467160507,40.75430310324308,8605,1
28,27810,71,11.099809879131485,80.82352100092221,44716,0
36,30031,65,7.686207527616351,50.06242680704178,24297,0
55,119041,473,40.28732826326371,29.52904940479433,35323,0
20,76487,214,92.92280536318539,40.510269452756646,36469,0
56,75904,400,64.0476042175844,97.89811151748088,34324,0
36,132184,213,18.784285253777412,71.97914533546862,23071,0
27,97571,455,55.46573480350956,63.709083708090496,12145,0
45,155309,499,30.319405946104606,28.997011894360902,46109,0
30,195450,470,72.06551452831133,40.14456309131936,38814,0
35,184481,126,5.4332034822903825,74.86452341262,24142,1
46,170969,273,27.616955782089946,70.69764874557161,27990,0
25,161512,389,24.682386920190226,74.09040561520715,5276,0
18,40402,136,84.27119021605549,31.334791758514314,31331,0
30,99218,176,37.73136614063236,93.63211539691568,44452,0
40,178201,412,38.76488054556471,63.27118787486009,23478,0
40,93716,404,87.55112265526162,18.280723665690047,24427,0
21,119022,280,29.805220863944314,10.536492225085647,39890,0
54,133737,400,36.005046590097834,95.67998154842861,18971,0
52,75055,145,63.44241452865836,77.07806182638798,9083,0
30,10257,228,82.21798868164232,85.03480011198954,15887,1
55,126581,439,64.77131710629214,79.62405955628543,42838,0
51,93896,215,93.08072973164899,12.572426899222622,23554,0
38,24923,487,46.815414130103036,57.917525537472216,44283,1
30,34672,117,78.20153349329672,54.38057278662374,2100,0
30,28132,101,33.73455467690927,1.9327630917601035,39779,0
52,32472,386,40.42897472548691,53.093767841209385,36021,0
46,104664,227,4.165681838268243,39.764757959203614,44864,0
45,182863,174,21.980534882319002,13.15182669163779,3866,0
59,79354,174,80.71555373648826,12.020722912057625,15493,0
49,156980,152,77.31418739186715,51.79605277125789,20093,0
33,194740,483,54.8382036195654,87.92551148463846,20936,0
25,35606,216,29.1144247785179,20.70949181765712,45671,1
58,10204,97,60.3291805714943,47.34008814949126,38011,1
43,120217,103,94.27243190941122,78.51895431484084,43615,0
28,69215,27,77.69280103272254,20.498120952681642,46169,0
59,85240,25,84.71944390335817,31.514703913255325,32082,0
25,134311,67,38.81657061269955,67.4130295536063,8682,0
55,172055,437,46.99882681579366,89.01411373960147,14824,0
43,116272,369,0.7841590771916818,63.09217902291634,47562,1
50,166117,410,76.10883060238756,35.426776484104664,21625,0
22,52605,85,76.08543445144956,54.68596409751262,43309,0
47,104258,477,86.39615807350101,48.133337653566485,492,0
